,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0027.HK,0066.HK,0083.HK,0101.HK,0151.HK,0175.HK,0267.HK,0288.HK,0386.HK,0388.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0883.HK,0939.HK,0941.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1928.HK,1997.HK,2003.HK,2018.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3328.HK,3988.HK
2010-06-30,48.845676,41.242279,7.109307,53.54496,34.189678,74.521622,20.507864,88.607544,8.342319,70.478195,5.17,21.448095,9.572802,24.553652,5.513911,2.671622,12.519139,NaN,3.185125,101.89817,13.116484,28.239267,9.556907,14.648829,12.194928,6.900514,9.334271,4.312011,57.616974,21.946903,51.733471,20.922501,3.809027,13.435651,NaN,1.020489,NaN,3.884511,8.517206,NaN,NaN,11.692455,8.368164,27.542671,10.942536,1.415524,13.922565,30.345009,5.260936,2.521108
2010-07-31,51.007931,42.824364,6.874777,50.892895,34.334999,73.898293,20.189793,84.646988,7.500909,69.992905,6.0,21.840916,8.843499,26.334545,5.704357,2.349184,12.456466,NaN,3.134246,97.270058,13.116484,26.843336,9.757146,16.461807,12.338738,6.618219,9.576536,4.200779,58.057068,22.587965,53.239166,19.837889,3.486524,12.131219,NaN,0.91016,NaN,3.694864,8.573986,NaN,NaN,12.065258,7.322144,27.542671,9.741803,1.388982,14.278658,26.161011,5.035121,2.404278
2010-08-31,61.272003,44.550282,7.197256,53.565052,34.716434,79.832008,23.434555,104.061447,9.400131,79.810593,6.94,23.174747,10.458476,28.721704,6.529631,3.546808,13.866634,NaN,3.50059,123.800079,12.974236,31.993185,10.339662,16.679358,11.993599,7.080868,10.716597,4.449422,58.27713,23.488256,59.725159,22.461946,3.49524,12.864961,NaN,1.079094,NaN,3.779876,9.936738,NaN,NaN,14.335969,7.747089,33.898678,10.874571,1.450911,17.176279,26.997812,5.120564,2.502666
2010-09-30,61.903744,45.704803,6.823474,54.136326,36.262657,79.342239,23.650831,103.129532,9.195839,82.944641,7.3,23.29319,10.536627,28.759598,6.493821,4.025857,16.322613,NaN,3.79229,138.221817,12.954057,33.483425,10.030202,17.332033,10.737535,7.501832,11.625028,4.835475,58.96944,24.708427,56.833755,24.141346,3.782878,12.52938,NaN,1.067919,20.935255,4.080697,11.995065,NaN,NaN,15.967839,7.35483,35.893711,10.081634,1.627852,17.085686,29.922211,5.238567,2.853162
2010-10-31,60.225014,46.357731,7.041141,53.061005,36.778069,89.347466,23.474987,99.712601,9.267948,90.183449,7.89,22.62203,10.786036,27.789371,6.076035,3.933732,15.381985,NaN,3.750787,144.136322,11.857335,32.577965,9.520498,17.658369,9.82831,7.709549,12.189632,4.728291,57.84906,26.462423,55.743828,22.846811,3.75673,11.414198,NaN,1.085424,20.390301,4.02598,11.853112,NaN,NaN,18.292917,6.668381,38.538956,10.036322,2.052509,18.976196,29.376083,5.015915,2.667615
2010-11-30,62.900532,45.777359,6.80347,53.622074,36.078583,90.231667,22.72467,101.7024,8.946712,96.366592,8.8,22.345671,9.656992,27.943115,6.185023,3.132246,15.966916,NaN,3.859732,142.839981,11.428202,31.861134,10.121218,17.513325,10.16025,8.116996,13.347795,4.70131,57.662323,27.148769,52.201473,22.811821,3.782878,11.643794,NaN,1.01189,19.845348,3.859342,12.122824,NaN,NaN,17.737293,7.363004,37.377636,9.334006,1.99058,18.798517,27.966738,4.842736,2.62914
2010-12-31,67.464653,46.259987,6.550934,57.019714,36.373104,90.796486,23.174871,102.4114,9.044788,92.445564,11.98,22.503593,9.789809,26.290361,5.885309,3.37177,16.559742,NaN,4.456326,144.86554,11.698419,38.105087,11.723138,18.124334,9.842744,8.64428,12.450217,4.620369,57.214169,28.254549,45.428093,22.147058,3.75673,11.528996,NaN,0.88858,19.48205,3.866008,13.698504,NaN,NaN,17.950996,7.420208,33.226955,9.85508,2.025968,17.87458,26.689518,4.595347,2.597078
2011-01-31,63.5825,46.406265,6.476662,60.821033,37.440739,87.689934,21.159683,99.102715,8.579095,82.039795,10.04,22.62203,9.378056,25.521637,5.285879,3.076971,16.045954,NaN,4.119119,136.52037,10.267864,38.85965,11.832359,17.753695,9.42421,8.46852,12.797666,4.593389,54.562607,29.284063,44.727383,22.601898,4.270992,10.364618,NaN,0.963218,20.617365,3.985987,13.130692,NaN,NaN,16.72007,7.379346,34.366783,9.356662,2.300226,17.16386,26.11697,4.644821,2.635553
2011-02-28,66.520363,46.004013,6.929733,55.00132,38.287479,88.678391,23.110537,97.054497,8.419768,85.9608,11.32,22.740467,9.178751,26.316408,5.549265,2.662409,17.07353,NaN,4.046491,136.925476,12.572613,35.747108,11.759546,18.050209,10.809696,9.411242,14.187458,4.917151,53.516907,28.025764,44.922005,25.645807,4.018219,11.93899,NaN,1.034305,21.752686,4.305932,12.321558,NaN,NaN,17.950996,7.501929,33.91515,9.334006,2.255991,18.016727,25.720592,5.294233,2.776628
2011-03-31,64.107101,47.410587,7.159976,56.776707,40.017773,87.004501,22.789,96.275627,8.420809,89.429398,13.96,22.701616,9.147959,26.741486,6.330338,2.865084,18.33824,NaN,4.056865,143.569199,11.87326,41.689228,14.380868,18.124334,10.319005,8.915911,13.868963,4.950877,53.330177,28.864628,47.179855,25.365908,4.035651,10.987805,NaN,1.005876,23.750839,4.379253,15.472924,NaN,NaN,17.352625,7.371175,36.323826,10.806605,2.140979,17.341541,24.311243,5.090133,2.750978
